"Habitat","Current_area_m2","Proposed_area_m2","SpeciesDensity_10m2","Corrected_SpeciesDensity_Current","Corrected_SpeciesDensity_Proposed","Current_weight","Current_Weighted_density","Current_Weighted_Correcteddensity","Proposed_weight","Proposed_Weighted_density","Proposed_Weighted_Correcteddensity"
"acid grassland (heath)",111.71,82.1,14.0418759618509,17.8745179189512,17.3324297289925,0.00514578495676684,0.0722564740892783,0.0919784254167986,0.0037546086563623,0.0527217490379312,0.0650764906962667
"agricultural plants",0,583.97,17.7810946673182,0,26.70530533616,0,0,0,0.0267061975280864,0.474865426451004,0.713197159355348
"amenity grass/turf",3303.63,1573.91,11.7772650596227,21.0350519797081,19.5318076590699,0.152177688270733,1.79223697092507,3.20106558292669,0.071978271745861,0.84770718488456,1.40586575937242
"broadleaved woodland",1978.36,3477.67,17.4919583132143,29.680346442481,31.4027202675577,0.0911307414472226,1.59405513044713,2.70479197771373,0.159041289719507,2.78194360985344,4.99432913205326
"chalk grassland",344.58,526,26.7281065616964,38.0800228909658,39.7252618478768,0.015872657599165,0.4242460837278,0.604431164716663,0.024055105398862,0.642947420453621,0.955595360748068
"cretaceous angiosperm shrubs",0,244.97,21.918669625409,0,30.1804340136769,0,0,0,0.0112030022234966,0.245554904549545,0.338111469361316
"fen (incl. reedbed)",64.6,133.86,5.11975839731257,6.16982319362687,6.636124864501,0.00297572024176115,0.0152349686958096,0.0183596677653629,0.00612170419903359,0.0313416464788658,0.040624393448327
"fern and cycad planting",0,739.82,21.918669625409,0,33.7075197349931,0,0,0,0.0338335514756389,0.741586437048799,1.14044510407001
"green roof",9.98,0,11.5150727755922,11.5127676856948,0,0.000459716532705515,0.00529366933024692,0.00529260964231169,0,0,0
"hard standing",10415,9525.16,0,0,0,0.479754277367529,0,0,0.435605946275712,0,0
"introduced shrubs",2218.62,1346.69,21.918669625409,37.6203198010782,35.7882905234638,0.102198025429971,2.24004475576868,3.84472239971423,0.0615870149992271,1.34990543498317,2.20409398526527
"marginal vegetation (pond edge)",163.6,99.15,13.9856706468135,18.4953104977956,17.5918927449417,0.00753603454415052,0.105396497117499,0.139381298816177,0.00453434163554595,0.0634158087148793,0.0797676517214476
"neogene grass",0,156.27,11.7772650596227,0,15.5035805720768,0,0,0,0.00714656144616001,0.0841669484163073,0.110797291193839
"neutral grassland",2103.15,2133.45,25.9038206864347,44.2232697446531,44.2865727115736,0.0968790406572749,2.50953729745986,4.28430794758989,0.097567233104947,2.52736411122212,4.32091836316928
"paleogene asteraceae",0,176.57,19.8943752024549,0,26.5107488879803,0,0,0,0.00807492387885373,0.160645565377179,0.214072279241847
"ponds",341.28,459.37,4.20358437533828,5.98316325314365,6.16362250248958,0.0157206471224186,0.0660830666140057,0.0940591981784937,0.0210079729412077,0.08830878681319,0.12948521475212
"short/perennial vegetation",423.65,0,19.8943752024549,28.9355022746631,0,0.0195149207495683,0.388237155438084,0.564674033739002,0,0,0
"species-poor hedgerow",109,0,18.3832116866766,23.3433960268061,0,0.00502095211071153,0.0923012255198758,0.117206073551967,0,0,0
"species-rich hedgerow",121.87,607.5,20.9473644606854,26.8979430741552,31.5852280737908,0.00561379297002215,0.117594167349887,0.150999483737748,0.0277822747714994,0.581965435185501,0.877509485066532
"total",21709.03,21866.46,305.200807933315,309.851434783723,382.651539469144,1,9.42251746248323,15.8212698635091,1,10.6744404694701,17.5898891395153
