Year	Title	Journal	ID	Authors
2015	Poor ecological quality of urban ponds in northern England: causes and consequences	URBAN ECOSYSTEMS	2015_Noble	"Noble, Andrew; Hassall, Christopher"
2015	Diversity and abundance of solitary and primitively eusocial bees in an urban centre: a case study from Northampton (England)	JOURNAL OF INSECT CONSERVATION	2015_Sirohi	"Sirohi, Muzafar Hussain; Jackson, Janet; Edwards, Mike; Ollerton, Jeff"
2015	Adding ecological value to the urban lawnscape. Insect abundance and diversity in grass-free lawns	BIODIVERSITY AND CONSERVATION	2015_Smith	"Smith, Lionel S.; Broyles, Moth E. J.; Larzleer, Helen K.; Fellowes, Mark D. E."
2014	Invertebrate Communities and Environmental Conditions in a Series of Urban Drainage Ponds in Eastern Scotland: Implications for Biodiversity and Conservation Value of SUDS	CLEAN-SOIL AIR WATER	2014_Briers	"Briers, Robert A."
2008	Darwin's earthworms revisited	EUROPEAN JOURNAL OF SOIL BIOLOGY	2008_Butt	"Butt, Kevin R.; Lowe, Christopher N.; Beasley, Toby; Hanson, Ian; Keynes, Randal"
2006	Baseline biodiversity surveys of the soil macrofauna of London's green spaces.	Urban Ecosystems	2006_SmithA	"Smith, Jo; Chapman, Anna; Eggleton, Paul"
2004	"Biodiversity on urban roundabouts - Hemiptera, management and the species-area relationship"	BASIC AND APPLIED ECOLOGY	2004_Helden	"Helden, AJ; Leather, SR"
2003	Urban domestic gardens (I): Putting small-scale plant diversity in context	JOURNAL OF VEGETATION SCIENCE	2003_Thompson	"Thompson, K; Austin, KC; Smith, RM; Warren, PH; Angold, PG; Gaston, KJ"
2000	Botanical conservation value related to origin and management of ponds	AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS	2000_Linton	"Linton, S; Goulder, R"
2013	Flower Density Is More Important Than Habitat Type for Increasing Flower Visiting Insect Diversity.	International Journal of Ecology	2013_Scriven	"Scriven, L.A.; Sweet, M.J.; Port, G.R."
2007	The effects of Rhododendron on testate amoebae communities in woodland soils in north west England	ACTA PROTOZOOLOGICA	2007_Sutton	"Sutton, Chris A.; Wilkinson, David M."
2006	Rare invertebrates colonizing green roofs in London.	Urban Habitats	2006_Kadas	"Kadas, Gyongyver"
2005	Magic roundabouts? Teaching conservation in schools and universities	JOURNAL OF BIOLOGICAL EDUCATION	2005_Leather	"Leather, SR; Helden, AJ"
2004	Biodiversity of Collembola in urban soils and the use of Folsomia candida to assess soil 'quality'	ECOTOXICOLOGY	2004_Fountain	"Fountain, MT; Hopkin, SP"
2008	Assessing biological indicators for remediated anthropogenic urban soils	SCIENCE OF THE TOTAL ENVIRONMENT	2008_Hartley	"Hartley, W.; Uffindell, L.; Plumb, A.; Rawlinson, H. A.; Putwain, P.; Dickinson, N. M."
2008	How can we make new ponds biodiverse? A case study monitored over 7 years	Hydrobiologia	2008_Williams	"Williams, P.; Whitfield, M.; Biggs, J."
2003	Prediction of plant diversity response to land-use change on Scottish agricultural land	"Agriculture, Ecosystems and Environment"	2003_Wilson	"Wilson, W.L.; Abernethy, V.J.; Murphy, K.J.; Adam, A.; McCracken, D.I.; Downie, I.S.; Foster, G.N.; Furness, R.W.; Waterhouse, A.; Ribera, I."
1982	Vacant Niches and Unsaturated Communities: A Comparison of Bracken Herbivores at Sites on Two Continents	Journal of Animal Ecology	1982_Lawton	"Lawton, J.H"
1998	Biodiversity in agricultural landscapes:the ground beetle communities of woody uncultivated habitats	Biodiversity and Conservation	1998_Petit	"Petit, S.; Usher, M.B."
2011	Insect species composition and diversity on intensive green roofs and adjacent level-ground habitats	Urban Ecosystems	2011_MacIvor	"MacIvor, J Scott and Lundholm, Jeremy"
2015	Allotment gardens and parks: Provision of ecosystem services with an emphasis on biodiversity	Urban Forestry and Urban Greening	2015_Speak	"Speak, A.F., Mizgajski, A. and Borysiak, J."
2006	"Urban domestic gardens (IX): Composition and richness of the vascular plant flora, and implications for native biodiversity"	Biological Conservation	2006_SmithC	"Smith, R.M.; Thompson, K; Hodgson, J.G.; Warren, P.H.; Gaston, K.J. "
2005	"Large-scale changes in the abundance of common higher plant species across Britain between 1978, 1990 and 1998 as a consequence of human activity: Tests of hypothesised changes in trait representation"	Biological Conservation	2005_Smart	"Smart, S.M.; Bunce, R.G.H.; Marrs, R.; LeDuc, M.; Firbank, L.G.; Maskell, L.C.; Scott, W.A.; Thompson, K.; Walker K.J. "
2006	Biodiversity in urban habitat patches	SCIENCE OF THE TOTAL ENVIRONMENT	2006_Angold	"Angold, P.G.; Sadler, J.P.; Hill, M.O.; Pullin, A.; Rushton, S.; Austin, K.; Small, E.; Wood, B.; Wadsworth, R.; Sanderson, R.; Thompson K."
