"Habitat","Current_area_m2","Proposed_area_m2","richness","Current_weight","Current_Weighted_richness","Proposed_weight","Proposed_Weighted_richness"
"acid grassland (heath)",111.71,82.1,19.2876052210755,0.00514578495676684,0.099249868798668,0.0037546086563623,0.0724174095235489
"agricultural plants",0,583.97,22.7533462876684,0,0,0.0267061975280864,0.607655360383424
"amenity grass/turf",3303.63,1573.91,14.7783425832908,0.152177688270733,2.24893401079813,0.071978271745861,1.06371955841353
"broadleaved woodland",1978.36,3477.67,24.1131167870308,0.0911307414472226,2.19744621140559,0.159041289719507,3.83498119296646
"chalk grassland",344.58,526,29.4080217805259,0.015872657599165,0.466783460391073,0.024055105398862,0.707413063502581
"cretaceous angiosperm shrubs",0,244.97,28.7787945869737,0,0,0.0112030022234966,0.322408899747419
"fen (incl. reedbed)",64.6,133.86,5.75439369163046,0.00297572024176115,0.0171234657872474,0.00612170419903359,0.0352266960249466
"fern and cycad planting",0,739.82,28.7787945869737,0,0,0.0338335514756389,0.973688828065214
"green roof",9.98,0,14.4976631563911,0.000459716532705515,0.00666481543858862,0,0
"hard standing",10415,9525.16,0,0.479754277367529,0,0.435605946275712,0
"introduced shrubs",2218.62,1346.69,28.7787945869737,0.102198025429971,2.94113598104344,0.0615870149992271,1.77240005388763
"marginal vegetation (pond edge)",163.6,99.15,16.5904365757485,0.00753603454415052,0.125026103137379,0.00453434163554595,0.0752267073173009
"neogene grass",0,156.27,14.7783425832908,0,0,0.00714656144616001,0.10561433334389
"neutral grassland",2103.15,2133.45,32.4267008443444,0.0968790406572749,3.14146766948053,0.097567233104947,3.16378348010453
"paleogene asteraceae",0,176.57,22.3034026895756,0,0,0.00807492387885373,0.180098278957745
"ponds",341.28,459.37,4.76301186143476,0.0157206471224186,0.0748776287135103,0.0210079729412077,0.100061224303673
"short/perennial vegetation",423.65,0,22.3034026895756,0.0195149207495683,0.435249135932776,0,0
"species-poor hedgerow",109,0,20.9350928989642,0.00502095211071153,0.105114098878996,0,0
"species-rich hedgerow",121.87,607.5,23.8551907276758,0.00561379297002215,0.133918102005564,0.0277822747714994,0.662751463522814
"total",21709.03,21866.46,374.884454139144,1,11.9929905518115,1,13.6774465500647
